original_id,consolidated_id,consolidated_name
ABR994409449396,ABR994409449396,"""Eder Bioenergie GbR"""
ABR972379205648,ABR972379205648,"""Elsteraue"" Agrar GmbH"
ABR909730663199,ABR909730663199,"""Luzica"" Milch und Rindfleisch GmbH"
ABR998897541310,ABR998897541310,"""Uckermärker Fleischrind"" Zucht GmbH ＆ Co. KG"
ABR962018844192,ABR962018844192,...
ABR921463529856,ABR921463529856,1. Lauterbergerg Kraft-Wärme Gesellschaft
ABR987288621632,ABR987288621632,1. Lechner Agrar
ABR919106441153,ABR919106441153,1Heiz Energie Calau GmbH
ABR902636325703,ABR902636325703,1Heiz Energie GmbH
ABR932692379037,ABR932692379037,2. Lauterberger Kraft- Wärme - Gesellschaft
ABR947414396452,ABR947414396452,2K-BioEnergie GmbH ＆ Co. KG
ABR905664577830,ABR905664577830,2L Dörtelmann Biogas GbR
ABR980534167878,ABR980534167878,3 B-Energie GmbH ＆ Co. KG
ABR987080922456,ABR987080922456,4. Lechner Agrar
ABR916053131915,ABR916053131915,A+T Nutzfahrzeuge GmbH
ABR936042653310,ABR936042653310,A-C Energie UG (haftungsbeschränkt)
ABR928972670222,ABR928972670222,A-G Bioenergie KG
ABR933462505045,ABR933462505045,"A.  Braschos-Lieven, A. Lietschulte GbR"
ABR955128190846,ABR955128190846,A. u. H. Kühter Bioenergie GmbH ＆ Co. KG
ABR900083060703,ABR900083060703,A. ＆ M. Fredeweß GbR
ABR959189160275,ABR959189160275,A. ＆ N. Naturstrom GmbH ＆ Co. KG
ABR978181354048,ABR978181354048,A.H. Energie GmbH ＆ Co. KG
ABR920654451907,ABR920654451907,A.M.-Mast GmbH ＆ Co.KG
ABR975225453613,ABR975225453613,A.V.E. Eigenbetrieb Kreis Paderborn
ABR950453846956,ABR950453846956,A1 Bioenergie GmbH＆Co.KG
ABR906760648059,ABR906760648059,AAK Bioenergie I UG ＆ Co.KG
ABR960480299342,ABR960480299342,AAK Rinderaufzucht GbR
ABR923306101229,ABR923306101229,AB Biogas Bau- und Betriebsgesellschaft mbH
ABR944808026742,ABR944808026742,ABA GmbH ＆ Co. KG
ABR966383148459,ABR966383148459,ABA Industriegebiet GmbH
ABR998049329162,ABR998049329162,ABIS Nemt GmbH ＆ Co. KG
ABR965621559897,ABR965621559897,ABO Kraft ＆ Wärme Ettinghausen GmbH ＆ Co. KG
ABR999922920353,ABR999922920353,ABO Kraft ＆ Wärme Friedland GmbH
ABR970887037799,ABR970887037799,ABO Kraft ＆ Wärme Hilscheid GmbH ＆ Co. KG
ABR936561536606,ABR936561536606,ABO Kraft ＆ Wärme Neulewin I GmbH
ABR907661328668,ABR907661328668,ABO Kraft ＆ Wärme Neulewin II GmbH
ABR945986075188,ABR945986075188,ABO Kraft ＆ Wärme Ramstein GmbH＆ Co. KG
ABR909270502798,ABR909270502798,ABO Kraft ＆ Wärme Storkow GmbH
ABR914723978242,ABR914723978242,ABO Kraft ＆ Wärme Zülpich GmbH ＆ Co. KG
ABR957694252089,ABR957694252089,AC Biogasanlage Beckedorf GmbH
ABR982413736762,ABR982413736762,ACD Bioenergie GmbH
ABR971178144684,ABR971178144684,AD Strom ＆ Wärme GmbH  ＆ Co.KG
ABR965540310159,ABR965540310159,ADA GbR
ABR974290056941,ABR974290056941,ADAP Biogas GmbH
ABR954349058539,ABR954349058539,ADAPRinderzucht GmbH
ABR909423293412,ABR909423293412,ADC - GmbH
ABR953327601378,ABR953327601378,ADE Steinborn Gmbh
ABR980815821468,ABR980815821468,ADM Hamburg Aktiengesellschaft
ABR987595576502,ABR987595576502,ADM Wild Europe GmbH ＆Co.KG
ABR909733151266,ABR909733151266,ADRW NaturPower GmbH ＆ Co. KG
ABR901888850636,ABR901888850636,AEP Putbus GmbH
ABR976815057662,ABR976815057662,AER GmbH ＆ Co. KG
ABR930310967154,ABR930310967154,AES GmbH
ABR941296416758,ABR941296416758,AEV Biogasanlage Nauen GmbH ＆ Co. KG
ABR914927235325,ABR914927235325,AF EllertmannGmbH＆Co.KG
ABR949679078500,ABR949679078500,AG Krusemark eG
ABR973384330608,ABR973384330608,AGD Agrar GmbH Dorfilm
ABR937200965788,ABR937200965788,AGE Kleinjena GmbH ＆ Co. KG
ABR962538546095,ABR962538546095,AGG Agrargenossenschaft eG Großenstein
ABR991647897378,ABR991647897378,AGH Agrargesellschaft Herpf mbH
ABR993731246413,ABR993731246413,AGIL Bioenergie GmbH ＆ Co. KG
ABR961191914012,ABR961191914012,AGJ AgrargesellschaftmbH Jüchsen
ABR925953212693,ABR925953212693,AGM Stürmer + Ziegler GbR
ABR985092809840,ABR985092809840,AGN Agrargesellschaft mbH Neunheilingen
ABR931632523189,ABR931632523189,AGPRO Agrarprodukt Rothenburg GmbH
ABR967341150460,ABR967341150460,AGR Abfallentsorgungs-Gesellschaft Ruhrgebiet mbH
ABR953764343565,ABR953764343565,AGRAR ENERGIEN SOTTRUM GmbH ＆ Co. KG
ABR998573881921,ABR998573881921,AGRAR GmbH Bliesdorf
ABR914974731764,ABR914974731764,AGRAR GmbH Krahne
ABR929790086189,ABR929790086189,AGRAR Produktionsgesellschaft Bösdorf/Lockstedt mbH
ABR953589808607,ABR953589808607,AGRAR eG Münchenbernsdorf
ABR911299802674,ABR911299802674,AGRARENERGIE Thoma GmbH
ABR941901343691,ABR941901343691,AGRICOLA Agrarverwaltungsgesellschaft mbH ＆ Co. KG
ABR966155541327,ABR966155541327,AGRO-Agrarprodukte GmbH
ABR960692531544,ABR960692531544,AGRO-Produkt GmbH
ABR958771861668,ABR958771861668,AGROKLI Verwaltungs- und DienstleistungsGmbH
ABR946167505654,ABR946167505654,AGROPRODUKT Sonneberg e.G.
ABR955265213651,ABR955265213651,AGT Agrarproduktion GmbH Triglitz
ABR979149678800,ABR979149678800,AHVG-Allgemeine Handels- und Verwaltungsgesellschaft für die Landwirtschaft mbH
ABR928638523732,ABR928638523732,AHW-Wiesloch (Abwasser- u. Hochwasserschutzverband Wiesloch)
ABR931389850927,ABR931389850927,AIG Agrar-Investment GmbH ＆ Co. KG
ABR996653447500,ABR996653447500,AJP Agrarenergie GmbH
ABR988757026330,ABR988757026330,AJPnaturenergie KG
ABR990326587739,ABR990326587739,AK-Biogas GmbH ＆ Co. KG
ABR927792621278,ABR927792621278,AKG Agrar Kompost GmbH
ABR911182413468,ABR911182413468,AKG Agrargesellschaft ＆ Kornbrennerei mbH
ABR911649348470,ABR911649348470,AKK Biogas
ABR926068315552,ABR926068315552,AKL Biogas GbR
ABR906344109433,ABR906344109433,AKRON Energie e.K. Inh. Andreas Kronschnabl
ABR981985231941,ABR981985231941,AKS Bioenergie Raken GmbH ＆ Co. KG
ABR965420960917,ABR965420960917,ALBAGUT GmbH
ABR910650474185,ABR910650474185,ALD Biogas Grünsfeld KG
ABR944824716924,ABR944824716924,ALTUS ＆ Friends Biogasbetriebsgesellschaft mbH ＆ Co. KG
ABR959459533242,ABR959459533242,AMF Bioenergie Marxheim GmbH ＆ Co. KG
ABR988065992051,ABR988065992051,AMPERAX Energie GmbH
ABR995758400441,ABR995758400441,APB Bioenergie GmbH ＆ Co. KG
ABR930428603418,ABR930428603418,"APG e.G. ""Weideland"""
ABR996470737235,ABR996470737235,APROHA GmbH
ABR992070417898,ABR992070417898,ARA Bioenergie Brokenlande GmbH ＆ Co. KG
