operator_id,operator_name,operator_email,operator_phone,operator_website,consolidated_name,duplicate_count,all_ids,is_generic
ABR994409449396,"""Eder Bioenergie GbR""",s.j.eder@t-online.de,08633/506910,,"""Eder Bioenergie GbR""",1,ABR994409449396,False
ABR972379205648,"""Elsteraue"" Agrar GmbH",,,,"""Elsteraue"" Agrar GmbH",1,ABR972379205648,False
ABR909730663199,"""Luzica"" Milch und Rindfleisch GmbH",fabig@sorabia-agrar.de,0357969750,www.sorabia-agrar.de,"""Luzica"" Milch und Rindfleisch GmbH",1,ABR909730663199,False
ABR998897541310,"""Uckermärker Fleischrind"" Zucht GmbH ＆ Co. KG",sd-empfang@agroverbund.de,03345645711,,"""Uckermärker Fleischrind"" Zucht GmbH ＆ Co. KG",1,ABR998897541310,False
ABR962018844192,...,hemmer-bio-energie@gmx.de,07266911943,,...,1,ABR962018844192,False
ABR921463529856,1. Lauterbergerg Kraft-Wärme Gesellschaft,bga-btf@t-online.de,01703441260,landenergie-bartolfelde.de,1. Lauterbergerg Kraft-Wärme Gesellschaft,1,ABR921463529856,False
ABR987288621632,1. Lechner Agrar,,,,1. Lechner Agrar,1,ABR987288621632,False
ABR919106441153,1Heiz Energie Calau GmbH,L.Petersen@amandus-kahl-group.de,0049 40 72771373,,1Heiz Energie Calau GmbH,1,ABR919106441153,False
ABR902636325703,1Heiz Energie GmbH,hanno.malinowski@1heiz.de,0333438076011,,1Heiz Energie GmbH,1,ABR902636325703,False
ABR932692379037,2. Lauterberger Kraft- Wärme - Gesellschaft,bga-btf@t-online.de,01703441260,landenergie-bartolfelde.de,2. Lauterberger Kraft- Wärme - Gesellschaft,1,ABR932692379037,False
ABR947414396452,2K-BioEnergie GmbH ＆ Co. KG,kkluemper@web.de,,,2K-BioEnergie GmbH ＆ Co. KG,1,ABR947414396452,False
ABR905664577830,2L Dörtelmann Biogas GbR,ludger.doertelmann@ewetel.net,+49 5964 93046,,2L Dörtelmann Biogas GbR,1,ABR905664577830,False
ABR980534167878,3 B-Energie GmbH ＆ Co. KG,cordpetervonderwroge@t-online.de,05130/39420,,3 B-Energie GmbH ＆ Co. KG,1,ABR980534167878,False
ABR987080922456,4. Lechner Agrar,agrar-rehfeld@t-online.de,033971/73338,,4. Lechner Agrar,1,ABR987080922456,False
ABR916053131915,A+T Nutzfahrzeuge GmbH,ctoenjes@at-nutzfahrzeuge.de,0447489000,www.at-nutzfahrzeuge.de,A+T Nutzfahrzeuge GmbH,1,ABR916053131915,False
ABR936042653310,A-C Energie UG (haftungsbeschränkt),,,,A-C Energie UG (haftungsbeschränkt),1,ABR936042653310,False
ABR928972670222,A-G Bioenergie KG,,,,A-G Bioenergie KG,1,ABR928972670222,False
ABR933462505045,"A.  Braschos-Lieven, A. Lietschulte GbR",andreas.braschos@web.de,028213362,,"A. Braschos-Lieven, A. Lietschulte GbR",1,ABR933462505045,False
ABR955128190846,A. u. H. Kühter Bioenergie GmbH ＆ Co. KG,meiners@kuehter.de,+4944941524,,A. u. H. Kühter Bioenergie GmbH ＆ Co. KG,1,ABR955128190846,False
ABR900083060703,A. ＆ M. Fredeweß GbR,m.fredewess@outlook.de,044919386535,,A. ＆ M. Fredeweß GbR,1,ABR900083060703,False
ABR959189160275,A. ＆ N. Naturstrom GmbH ＆ Co. KG,,,,A. ＆ N. Naturstrom GmbH ＆ Co. KG,1,ABR959189160275,False
ABR978181354048,A.H. Energie GmbH ＆ Co. KG,lange.hauke@htp-tel.de,01702260505,,A.H. Energie GmbH ＆ Co. KG,1,ABR978181354048,False
ABR920654451907,A.M.-Mast GmbH ＆ Co.KG,,,,A.M.-Mast GmbH ＆ Co.KG,1,ABR920654451907,False
ABR975225453613,A.V.E. Eigenbetrieb Kreis Paderborn,info@ave-kreis-paderborn.de,,https://www.ave-kreis-paderborn.de/,A.V.E. Eigenbetrieb Kreis Paderborn,1,ABR975225453613,False
ABR950453846956,A1 Bioenergie GmbH＆Co.KG,,,,A1 Bioenergie GmbH＆Co.KG,1,ABR950453846956,False
ABR906760648059,AAK Bioenergie I UG ＆ Co.KG,,,,AAK Bioenergie I UG ＆ Co.KG,1,ABR906760648059,False
ABR960480299342,AAK Rinderaufzucht GbR,,,,AAK Rinderaufzucht GbR,1,ABR960480299342,False
ABR923306101229,AB Biogas Bau- und Betriebsgesellschaft mbH,info@aumann-ohg.de,,,AB Biogas Bau- und Betriebsgesellschaft mbH,1,ABR923306101229,False
